name,link,full_path,dob,taken,gender,age
Darryl Wezy,https://id.wikipedia.org/wiki/Darryl_Wezy,./foto/Resized.jpg,Jul 5 1989,2012:02:23,1,23.0
Haddad Alwi,https://id.wikipedia.org/wiki/Haddad_Alwi,./foto/Bghddad-alwi.jpg,Mar 13 1966,2013:05:25,1,47.0
Igor Tamerlan,https://id.wikipedia.org/wiki/Igor_Tamerlan,./foto/Igor_Tamerlan_enregistrant_%C3%A0_Paris.jpg,Sep 8 1954,2018:01:20,1,64.0
Once Mekel,https://id.wikipedia.org/wiki/Elfonda_Mekel,./foto/Once_Dewa_2005.JPG,May 21 1970,2005:02:27,1,35.0
Tompi,https://id.wikipedia.org/wiki/Tompi,./foto/Tompi.jpg,Sep 22 1978,2005:10:30,1,27.0
Vidi Aldiano,https://id.wikipedia.org/wiki/Vidi_Aldiano,./foto/Vidi_Aldiano_live_%40_Trans_TV.jpg,Mar 29 1990,2011:11:04,1,21.0
Agnes Monica,https://id.wikipedia.org/wiki/Agnes_Monica,./foto/Agnes_Monica_in_2009_Asia_Song_Festival.jpg,Jul 1 1986,2009:09:18,0,23.0
Chiquita Meidy,https://id.wikipedia.org/wiki/Chiquita_Meidy,./foto/Cikita.jpg,Oct 22 1990,2009:08:07,0,19.0
Eka Deli,https://id.wikipedia.org/wiki/Eka_Deli,./foto/Pergelaran-multimedia-tembang-harmoni.jpg,Mar 21 1976,2012:09:11,0,36.0
Gita Gutawa,https://id.wikipedia.org/wiki/Gita_Gutawa,./foto/Gita_Gutawa_in_concert_15.jpg,Aug 11 1993,2008:11:26,0,15.0
Krisdayanti,https://id.wikipedia.org/wiki/Krisdayanti,./foto/Krisdayanti_2004_1.jpg,Mar 24 1975,2004:06:26,0,29.0
Lala Karmela,https://id.wikipedia.org/wiki/Lala_Karmela,./foto/LalaKarmelaStage.jpg,Apr 2 1985,2016:12:17,0,31.0
Malyda,https://id.wikipedia.org/wiki/Malyda,./foto/Malyda_2008_1.jpg,Jul 9 1963,2008:06:08,0,45.0
Mayada,https://id.wikipedia.org/wiki/Mayada,./foto/Umi_Mayada_Limbong.jpg,Oct 20 1990,2018:05:28,0,28.0
Maylaffayza,https://id.wikipedia.org/wiki/Maylaffayza,./foto/Maylaffayza.jpg,Jul 10 1976,2006:05:18,0,30.0
Neonomora,https://id.wikipedia.org/wiki/Neonomora,./foto/Neonomora.jpg,May 16 1988,2014:09:07,0,26.0
Olive,https://id.wikipedia.org/wiki/Olive_Latuputty,./foto/Olive_Latuputty.jpg,Feb 15 1981,2011:06:20,0,30.0
