name,link,full_path,dob,taken,gender
A. Rafiq,https://id.wikipedia.org/wiki/A._Rafiq,,Mar 5 1948,,1
A. Riyanto,https://id.wikipedia.org/wiki/A._Riyanto,,Nov 23 1943,,1
Abiem Ngesti,https://id.wikipedia.org/wiki/Abiem_Ngesti,,Oct 30 1978,,1
Ade Manuhutu,https://id.wikipedia.org/wiki/Ade_Manuhutu,,,,1
Adera,https://id.wikipedia.org/wiki/Adera,,,,1
Adhitia Sofyan,https://id.wikipedia.org/wiki/Adhitia_Sofyan,,Nov 6 1977,,1
Adi Bing Slamet,https://id.wikipedia.org/wiki/Adi_Bing_Slamet,,May 6 1966,,1
Aditya,https://id.wikipedia.org/wiki/Aditya_(penyanyi),./foto/Aditya.jpg,May 12 1982,,1
Ady,https://id.wikipedia.org/wiki/Rusyaedi_Makmun,,Jul 28 1974,,1
Afgan,https://id.wikipedia.org/wiki/Afgan,,,,1
Agus Wisman,https://id.wikipedia.org/wiki/Agus_Wisman,,Feb 1 1965,,1
Ahmad Albar,https://id.wikipedia.org/wiki/Ahmad_Albar,./foto/Ahmad_Syech_Albar.jpg,Jul 16 1946,,1
Alam,https://id.wikipedia.org/wiki/Alam_(penyanyi),,May 11 1981,,1
Anang,https://id.wikipedia.org/wiki/Anang_Hermansyah,,,,1
Andre Hehanussa,https://id.wikipedia.org/wiki/Andre_Hehanussa,,Jul 24 1964,,1
Andre Manika,https://id.wikipedia.org/wiki/Andre_Manika,,Nov 2 1962,,1
Andre Taulany,https://id.wikipedia.org/wiki/Andre_Taulany,,Sep 17 1974,,1
Andy Liany,https://id.wikipedia.org/wiki/Andy_Liany,,,,1
Ari Lasso,https://id.wikipedia.org/wiki/Ari_Lasso,,,,1
Arif Dharma,https://id.wikipedia.org/wiki/Arif_Dharma,,Sep 9 1974,,1
Aris,https://id.wikipedia.org/wiki/Januarisman,,,,1
Ariyo,https://id.wikipedia.org/wiki/Ariyo_Wahab,,Jul 1 1974,,1
Armand Maulana,https://id.wikipedia.org/wiki/Armand_Maulana,./foto/Armand_Maulana.jpg,Apr 4 1971,,1
Baim,https://id.wikipedia.org/wiki/Ibrahim_Imran,,,,1
Bams,https://id.wikipedia.org/wiki/Bams,,Jun 16 1983,,1
Bayu Risa,https://id.wikipedia.org/wiki/Bayu_Risa,,Oct 6 1983,,1
Beniqno,https://id.wikipedia.org/wiki/Beniqno,,Nov 11 1974,,1
Benny Panjaitan,https://id.wikipedia.org/wiki/Benny_Panjaitan,,,,1
Benyamin S,https://id.wikipedia.org/wiki/Benyamin_S,,,,1
Billy Simpson,https://id.wikipedia.org/wiki/Billy_Simpson,,Jul 17 1987,,1
Bing Slamet,https://id.wikipedia.org/wiki/Bing_Slamet,./foto/Bing_Slamet%2C_Film_Varia_1.6_%28May_1954%29%2C_p14.jpg,Sep 27 1927,,1
Bobby Sandhora,https://id.wikipedia.org/wiki/Bobby_Sandhora,,Jul 5 1972,,1
Bob Tutupoly,https://id.wikipedia.org/wiki/Bob_Tutupoly,./foto/Bob_tutupoly.jpg,Nov 13 1939,,1
Bondan Prakoso,https://id.wikipedia.org/wiki/Bondan_Prakoso,,May 8 1984,,1
Bram Aceh,https://id.wikipedia.org/wiki/Bram_Aceh,./foto/Bram_Aceh_album.jpg,Mar 4 1913,,1
Bram Moersas,https://id.wikipedia.org/wiki/Bram_Moersas,./foto/731.jpg,May 8 1965,,1
Broery Marantika,https://id.wikipedia.org/wiki/Broery_Marantika,./foto/Broery_Marantika.jpg,Jun 25 1948,,1
Budi Doremi,https://id.wikipedia.org/wiki/Budi_Doremi,,Sep 19 1984,,1
Caca Handika,https://id.wikipedia.org/wiki/Caca_Handika,,,,1
Cakra Khan,https://id.wikipedia.org/wiki/Cakra_Khan,./foto/Cakra_TL.jpg,Feb 27 1992,,1
Calvin Jeremy,https://id.wikipedia.org/wiki/Calvin_Jeremy,,May 6 1991,,1
Candra Darusman,https://id.wikipedia.org/wiki/Candra_Darusman,,,,1
Carlo Saba,https://id.wikipedia.org/wiki/Carlo_Saba,,,,1
Cas,https://id.wikipedia.org/wiki/Cas,,May 23 1983,,1
Chandra Satria,https://id.wikipedia.org/wiki/Chandra_Satria,./foto/Chandra_Satria.jpg,Sep 21 ,2012:06:06,1
Charles Hutagalung,https://id.wikipedia.org/wiki/Charles_Hutagalung,,Oct 14 1948,,1
Chrisye,https://id.wikipedia.org/wiki/Chrisye,./foto/Chrisye_in_1977.jpg,Sep 16 1949,,1
Darryl Wezy,https://id.wikipedia.org/wiki/Darryl_Wezy,./foto/Resized.jpg,Jul 5 1989,2012:02:23,1
Deddy Damhudi,https://id.wikipedia.org/wiki/Deddy_Damhudi,,,,1
Deddy Dhukun,https://id.wikipedia.org/wiki/Deddy_Dhukun,,Jun 20 1968,,1
Deddy Dores,https://id.wikipedia.org/wiki/Deddy_Dores,,Nov 28 1950,,1
Deddy Stanzah,https://id.wikipedia.org/wiki/Deddy_Stanzah,,,,1
Delon,https://id.wikipedia.org/wiki/Delon,,May 20 1978,,1
Denny Malik,https://id.wikipedia.org/wiki/Denny_Malik,,Feb 18 1963,,1
Derby Romero,https://id.wikipedia.org/wiki/Derby_Romero,,Jun 8 1990,,1
Dian Pramana Poetra,https://id.wikipedia.org/wiki/Dian_Pramana_Poetra,,,,1
Didi Kempot,https://id.wikipedia.org/wiki/Didi_Kempot,,Dec 31 1966,,1
Dik Doank,https://id.wikipedia.org/wiki/Dik_Doank,,Sep 21 1968,,1
Dimas Beck,https://id.wikipedia.org/wiki/Dimas_Beck,,May 8 1988,,1
Dirly,https://id.wikipedia.org/wiki/Dearly_Dave_Sompie,,Dec 10 1989,,1
Doel Sumbang,https://id.wikipedia.org/wiki/Doel_Sumbang,,,,1
Dyno,https://id.wikipedia.org/wiki/Dyno_(musisi),,,,1
Ebiet G Ade,https://id.wikipedia.org/wiki/Ebiet_G_Ade,./foto/Ebiet_In_Pendopo.jpg,Apr 21 1954,,1
Eddy Silitonga,https://id.wikipedia.org/wiki/Eddy_Silitonga,,,,1
Edo Kondologit,https://id.wikipedia.org/wiki/Edo_Kondologit,,Aug 5 1967,,1
Ello,https://id.wikipedia.org/wiki/Ello,,Feb 20 1983,,1
Elvyn G. Masassya,https://id.wikipedia.org/wiki/Elvyn_G._Masassya,,Jun 18 1967,,1
Emil,https://id.wikipedia.org/wiki/Emil_Dardak,,,,1
Evan Sanders,https://id.wikipedia.org/wiki/Evan_Sanders,./foto/Evan_Sanders.jpg,Nov 8 1981,,1
Eza Yayang,https://id.wikipedia.org/wiki/Eza_Yayang,,Feb 19 1982,,1
Fali Wiilmer,https://id.wikipedia.org/wiki/Fali_Wiilmer,,May 25 1999,,1
Farid Hardja,https://id.wikipedia.org/wiki/Farid_Hardja,./foto/Farid_hardja.jpg,Sep 7 1950,,1
Fariz RM,https://id.wikipedia.org/wiki/Fariz_RM,,,,1
Fatur,https://id.wikipedia.org/wiki/Fatur,,Dec 16 1968,,1
Franky Sahilatua,https://id.wikipedia.org/wiki/Franky_Sahilatua,./foto/Franky.jpg,Aug 16 1953,,1
Gavin MJ,https://id.wikipedia.org/wiki/Gavin_MJ,,,,1
Gilbert Pohan,https://id.wikipedia.org/wiki/Gilbert_Pohan,,,,1
Gito Rollies,https://id.wikipedia.org/wiki/Gito_Rollies,,Nov 1 1947,,1
Glenn Fredly,https://id.wikipedia.org/wiki/Glenn_Fredly,./foto/Glenn_Fredly.jpg,Sep 30 1975,,1
Glenn Waas,https://id.wikipedia.org/wiki/Glenn_Waas,,Nov 9 1978,,1
Gombloh,https://id.wikipedia.org/wiki/Gombloh,,Jul 14 1948,,1
Guntur,https://id.wikipedia.org/wiki/Guntur_Simbolon,,Oct 28 1983,,1
