name,link,full_path,dob,taken
A. Rafiq,https://id.wikipedia.org/wiki/A._Rafiq,,Mar 5 1948,
A. Riyanto,https://id.wikipedia.org/wiki/A._Riyanto,,Nov 23 1943,
Abiem Ngesti,https://id.wikipedia.org/wiki/Abiem_Ngesti,,Oct 30 1978,
Ade Manuhutu,https://id.wikipedia.org/wiki/Ade_Manuhutu,,,
Adera,https://id.wikipedia.org/wiki/Adera,,,
Adhitia Sofyan,https://id.wikipedia.org/wiki/Adhitia_Sofyan,,Nov 6 1977,
Adi Bing Slamet,https://id.wikipedia.org/wiki/Adi_Bing_Slamet,,May 6 1966,
Aditya,https://id.wikipedia.org/wiki/Aditya_(penyanyi),./foto/Aditya.jpg,May 12 1982,
Ady,https://id.wikipedia.org/wiki/Rusyaedi_Makmun,,Jul 28 1974,
Afgan,https://id.wikipedia.org/wiki/Afgan,,,
Agus Wisman,https://id.wikipedia.org/wiki/Agus_Wisman,,Feb 1 1965,
Ahmad Albar,https://id.wikipedia.org/wiki/Ahmad_Albar,./foto/Ahmad_Syech_Albar.jpg,Jul 16 1946,
Alam,https://id.wikipedia.org/wiki/Alam_(penyanyi),,May 11 1981,
Anang,https://id.wikipedia.org/wiki/Anang_Hermansyah,,,
Andre Hehanussa,https://id.wikipedia.org/wiki/Andre_Hehanussa,,Jul 24 1964,
Andre Manika,https://id.wikipedia.org/wiki/Andre_Manika,,Nov 2 1962,
Andre Taulany,https://id.wikipedia.org/wiki/Andre_Taulany,,Sep 17 1974,
Andy Liany,https://id.wikipedia.org/wiki/Andy_Liany,,,
Ari Lasso,https://id.wikipedia.org/wiki/Ari_Lasso,,,
Arif Dharma,https://id.wikipedia.org/wiki/Arif_Dharma,,Sep 9 1974,
Aris,https://id.wikipedia.org/wiki/Januarisman,,,
Ariyo,https://id.wikipedia.org/wiki/Ariyo_Wahab,,Jul 1 1974,
Armand Maulana,https://id.wikipedia.org/wiki/Armand_Maulana,./foto/Armand_Maulana.jpg,Apr 4 1971,
